Burn sample, txid: 06cf58c629b40ec626ddc8b76c0720153cb2ceaebc6ec73c02dab01eff9e0df2, most_recent_burn: 60000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 60000]
Burn sample, txid: 1c0ed04a78edfaf287f95e1305e3b2af61f7ba702bbd4c25a50778a62eaba88e, most_recent_burn: 20000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 20000]
Burn sample, txid: 8b02a5b0b0e12743126580743c29486c3d2003bcb293a0912ac6ed245b42a6e7, most_recent_burn: 40000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 40000]
Burn sample, txid: e947ca4b163ebcb3dc243899162e84c7687973b25aa5680ebc4ea569579257fe, most_recent_burn: 110000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 110000]
Burn sample, txid: 5ec03c1a4ae2af7b607eab4642cd3d73f85b918474e430a259ebe91279e91c16, most_recent_burn: 20000, median_burn: 1, all_burns: [1, 1, 1, 1, 20000, 20000]
Burn sample, txid: f1427518e370c38a01f04ef129d8c0670c40c49e90780115b04fe6f99d0945ea, most_recent_burn: 20000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 20000]
Burn sample, txid: 0a3ee8755e62d83b589adc957286f5f9b09695e2e52c4cea68555be0686da0a4, most_recent_burn: 25000, median_burn: 25000, all_burns: [1, 1, 25000, 25000, 25000, 25000]
Burn sample, txid: 9ab084b3993a2b5edaf3ebec844ebe2f14b7b1a7a7a4bfe1668efbebdaf35076, most_recent_burn: 30000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 30000]
Burn sample, txid: f45e3a2428adb6b9d537aef0119ba23a75052bcc7d30582f015aeeff541cf4a3, most_recent_burn: 40000, median_burn: 1, all_burns: [1, 1, 1, 1, 40000, 40000]
Burn sample, txid: 3ffdc11a1c265d1290a3ddc9764180fc1c118ce89f3bb4bb4c0cfeb7d512cfed, most_recent_burn: 60000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 60000]
Burn sample, txid: 0a4b7792d74b208bfc878ec30e5d1be880e5244a37e7b5b92e846d095a3689f3, most_recent_burn: 20000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 20000]
Burn sample, txid: 523ecf3a2f06ae8b1733069cf14289d16cf5a2250336c09ac8747b15b2ad056e, most_recent_burn: 40000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 40000]
